Name,Description,URL
Kanban Plus,A fork of Obsidian Kanban with cross-file list management and Full Calendar integration for power users who want more from markdown-backed task boards.,https://github.com/geetduggal/obsidian-kanban
Full Calendar Plus,A fork of Obsidian Full Calendar adding a linear year view and property-based filtering so you can see your projects as time-spans alongside daily events.,https://github.com/geetduggal/obsidian-full-calendar
Thousand Words,"An AI skill that bridges ephemeral daily work (eg. Slack, WhatsApp screenshots) to People, Project, and Spaces notes.",https://github.com/geetduggal/thousand-words
Order,"A specialized, opinionated, local-first notes app on top of an Obsidian-compatible vault: masonry of cards, in-place WYSIWYG editing, drill-down filtering by Areas and Notable Folders, and list folders that render bullet wikilinks as a drag-reorderable card grid.",https://github.com/geetduggal/order
